{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 279258), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.79995422293431, 'Sampling Period': 0.10451199859380722, 'PM1': 5.082992076873779, 'PM2.5': 10.476217269897461, 'PM10': 10.78122615814209}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 415597), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.783169298847945, 'Sampling Period': 0.10410666465759277, 'PM1': 1.9609556198120117, 'PM2.5': 3.2457196712493896, 'PM10': 3.279529333114624}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 552059), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.069657434958415, 'Humidity': 25.79995422293431, 'Sampling Period': 0.1040213331580162, 'PM1': 4.214571475982666, 'PM2.5': 6.79440975189209, 'PM10': 6.861772537231445}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 688400), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.069657434958415, 'Humidity': 25.751125352864882, 'Sampling Period': 0.10408533364534378, 'PM1': 6.749215602874756, 'PM2.5': 10.629541397094727, 'PM10': 10.730079650878906}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 824723), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.751125352864882, 'Sampling Period': 0.10400000214576721, 'PM1': 5.598297595977783, 'PM2.5': 8.206686019897461, 'PM10': 8.272244453430176}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 41, 968744), 'gpstime': '231241.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.069657434958415, 'Humidity': 25.815213244831007, 'Sampling Period': 0.1058773323893547, 'PM1': 4.369960308074951, 'PM2.5': 6.882380962371826, 'PM10': 6.947476863861084}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 112972), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.069657434958415, 'Humidity': 25.783169298847945, 'Sampling Period': 0.10568533092737198, 'PM1': 5.338316917419434, 'PM2.5': 7.94639778137207, 'PM10': 8.012444496154785}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 270126), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.08300907911803, 'Humidity': 25.72213321126116, 'Sampling Period': 0.1042986661195755, 'PM1': 6.607689380645752, 'PM2.5': 9.86789608001709, 'PM10': 9.950580596923828}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 406413), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.069657434958415, 'Humidity': 25.79995422293431, 'Sampling Period': 0.1040213331580162, 'PM1': 2.467360258102417, 'PM2.5': 3.193728446960449, 'PM10': 3.2102537155151367}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 542742), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.08300907911803, 'Humidity': 25.75417715724422, 'Sampling Period': 0.10410666465759277, 'PM1': 9.565661430358887, 'PM2.5': 15.140060424804688, 'PM10': 15.284741401672363}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 679057), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.09636072327764, 'Humidity': 25.786221103227284, 'Sampling Period': 0.10414933413267136, 'PM1': 2.459327459335327, 'PM2.5': 3.7231807708740234, 'PM10': 3.755429267883301}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 815371), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.08300907911803, 'Humidity': 25.769436179140918, 'Sampling Period': 0.1040426641702652, 'PM1': 3.081329107284546, 'PM2.5': 19.19925880432129, 'PM10': 26.703998565673828}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 42, 959413), 'gpstime': '231242.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.740444037537195, 'Sampling Period': 0.10598400235176086, 'PM1': 2.628190517425537, 'PM2.5': 6.444818019866943, 'PM10': 6.69792366027832}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 103765), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.09636072327764, 'Humidity': 25.75417715724422, 'Sampling Period': 0.10600533336400986, 'PM1': 5.080239772796631, 'PM2.5': 24.544408798217773, 'PM10': 90.50611114501953}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 276213), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.08300907911803, 'Humidity': 25.737392233157856, 'Sampling Period': 0.10572800040245056, 'PM1': 7.621859073638916, 'PM2.5': 14.06734561920166, 'PM10': 14.391485214233398}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 412329), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.772487983520257, 'Sampling Period': 0.10421333461999893, 'PM1': 6.1522111892700195, 'PM2.5': 12.506793975830078, 'PM10': 12.83120059967041}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 548724), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.740444037537195, 'Sampling Period': 0.10412800312042236, 'PM1': 5.9080047607421875, 'PM2.5': 9.604985237121582, 'PM10': 9.70176887512207}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 684789), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.786221103227284, 'Sampling Period': 0.10412800312042236, 'PM1': 7.255655288696289, 'PM2.5': 11.500432014465332, 'PM10': 11.610655784606934}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 821043), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.75570305943389, 'Sampling Period': 0.10400000214576721, 'PM1': 3.111829996109009, 'PM2.5': 4.976241588592529, 'PM10': 5.0247979164123535}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 43, 957567), 'gpstime': '231243.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.08300907911803, 'Humidity': 25.705348287174793, 'Sampling Period': 0.10438399761915207, 'PM1': 11.986721992492676, 'PM2.5': 24.438129425048828, 'PM10': 25.08839225769043}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 102164), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.09636072327764, 'Humidity': 25.769436179140918, 'Sampling Period': 0.10632533580064774, 'PM1': 6.055200576782227, 'PM2.5': 9.683094024658203, 'PM10': 9.77757740020752}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 268839), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.09636072327764, 'Humidity': 25.786221103227284, 'Sampling Period': 0.10436266660690308, 'PM1': 11.527083396911621, 'PM2.5': 18.74024772644043, 'PM10': 18.929080963134766}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 404919), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.75570305943389, 'Sampling Period': 0.1040213331580162, 'PM1': 8.724884033203125, 'PM2.5': 16.702796936035156, 'PM10': 17.065715789794922}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 541300), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.72365911345083, 'Sampling Period': 0.10410666465759277, 'PM1': 14.693523406982422, 'PM2.5': 31.60593605041504, 'PM10': 32.53229904174805}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 677484), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.125734340428778, 'Humidity': 25.726710917830168, 'Sampling Period': 0.10410666465759277, 'PM1': 10.109949111938477, 'PM2.5': 21.151775360107422, 'PM10': 21.77740478515625}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 813872), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.740444037537195, 'Sampling Period': 0.10419200360774994, 'PM1': 7.209417819976807, 'PM2.5': 11.932829856872559, 'PM10': 12.05712890625}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 44, 951542), 'gpstime': '231244.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.112382696269165, 'Humidity': 25.740444037537195, 'Sampling Period': 0.10577066987752914, 'PM1': 6.267453670501709, 'PM2.5': 10.189362525939941, 'PM10': 10.292034149169922}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 95707), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.726710917830168, 'Sampling Period': 0.10623999685049057, 'PM1': 1.9698841571807861, 'PM2.5': 3.260498046875, 'PM10': 3.294461488723755}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 266313), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.726710917830168, 'Sampling Period': 0.10557866841554642, 'PM1': 6.733896732330322, 'PM2.5': 11.145760536193848, 'PM10': 11.261860847473145}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 402635), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.741969939726864, 'Sampling Period': 0.10408533364534378, 'PM1': 8.10814094543457, 'PM2.5': 13.239238739013672, 'PM10': 13.373741149902344}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 538840), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.125734340428778, 'Humidity': 25.709925993743802, 'Sampling Period': 0.10408533364534378, 'PM1': 4.45944356918335, 'PM2.5': 7.023310661315918, 'PM10': 7.0897393226623535}
